Player,From,To,Pos,Ht,Wt,Birth Date,College
Tony Dumas\dumasto01,1995,1998,G,6-6,190,August 25 1972,University of Missouri-Kansas City
Andy Duncan\duncaan01,1949,1951,F-C,6-6,195,April 17 1922,College of William & Mary
Tim Duncan\duncati01,1998,2016,F-C,6-11,250,April 25 1976,Wake Forest University
Mike Dunleavy\dunlemi01,1977,1990,G,6-3,180,March 21 1954,University of South Carolina
Mike Dunleavy\dunlemi02,2003,2017,F-G,6-9,230,September 15 1980,Duke University
Kris Dunn\dunnkr01,2017,2017,G,6-4,210,March 18 1994,Providence College
Pat Dunn\dunnpa01,1958,1958,G,6-2,170,March 17 1931,Utah State University
T.R. Dunn\dunntr01,1978,1991,G-F,6-4,192,February 1 1955,University of Alabama
Ronald Dupree\duprero01,2004,2011,F,6-7,209,January 26 1981,Louisiana State University
Kevin Durant\duranke01,2008,2017,F-G,6-9,240,September 29 1988,University of Texas at Austin
John Duren\durenjo01,1981,1983,G,6-3,195,October 30 1958,Georgetown University
Jarrett Durham\durhaja01,1972,1972,F,6-5,188,August 22 1949,Duquesne University
Pat Durham\durhapa01,1993,1995,F,6-7,210,March 10 1967,Colorado State University
Devin Durrant\durrade01,1985,1986,F,6-7,200,October 20 1960,Brigham Young University
Ken Durrett\durreke01,1972,1975,F,6-7,190,December 8 1948,La Salle University
Dennis DuVal\duvalde01,1975,1976,G,6-3,175,March 31 1952,Syracuse University
Jack Dwan\dwanja01,1949,1949,F-G,6-4,200,May 3 1921,Loyola University of Chicago
Craig Dykema\dykemcr01,1982,1982,F,6-8,190,June 11 1959,California State University Long Beach
Gene Dyker\dykerge01,1954,1954,F,6-6,225,February 17 1930,DePaul University
Jerome Dyson\dysonje01,2012,2012,G,6-3,180,May 1 1987,University of Connecticut

Marcus Banks\banksma01,2004,2011,G,6-2,200,November 19 1981,University of Nevada Las Vegas
Walker Banks\bankswa01,1971,1971,C,6-10,205,August 26 1947,Western Kentucky University
Ken Bannister\bannike01,1985,1991,F-C,6-9,235,April 1 1960,Saint Augustine's College
Mike Bantom\bantomi01,1974,1982,F-C,6-9,200,December 3 1951,Saint Joseph's University
John Barber\barbejo01,1957,1957,F,6-6,210,June 27 1927,California State University Los Angeles
Leandro Barbosa\barbole01,2004,2017,G,6-3,194,November 28 1982,
Steve Bardo\bardost01,1992,1996,G,6-5,190,April 5 1968,University of Illinois at Urbana-Champaign
J.J. Barea\bareajo01,2007,2017,G,6-0,185,June 26 1984,Northeastern University
Andrea Bargnani\bargnan01,2007,2016,F-C,7-0,245,October 26 1985,
Cliff Barker\barkecl01,1950,1952,G,6-2,185,January 15 1921,University of Kentucky
Tom Barker\barketo01,1977,1979,C-F,6-11,225,March 11 1955,University of Hawaii
Charles Barkley*\barklch01,1985,2000,F,6-6,252,February 20 1963,Auburn University
Erick Barkley\barkler01,2001,2002,G,6-1,177,February 21 1978,St. John's University
Don Barksdale*\barksdo01,1952,1955,F-C,6-6,200,March 31 1923,University of California Los Angeles
Harrison Barnes\barneha02,2013,2017,F,6-8,210,May 30 1992,University of North Carolina
Harry Barnes\barneha01,1969,1969,F,6-3,205,July 25 1945,Northeastern University
Jim Barnes\barneji01,1965,1971,C-F,6-8,210,April 13 1941,University of Texas at El Paso
Marvin Barnes\barnema01,1975,1980,F-C,6-8,210,July 27 1952,Providence College
Matt Barnes\barnema02,2004,2017,F,6-7,226,March 9 1980,University of California Los Angeles
Dick Barnett\barnedi01,1960,1974,G-F,6-4,190,October 2 1936,Tennessee State University
Jim Barnett\barneji02,1967,1977,G-F,6-4,170,July 7 1944,University of Oregon
Nathaniel Barnett\barnena01,1976,1976,G,6-3,175,January 29 1953,University of Akron
John Barnhill\barnhjo01,1963,1972,G,6-1,180,March 20 1938,Tennessee State University
Norton Barnhill\barnhno01,1977,1977,G,6-4,205,July 15 1953,Washington State University
Leo Barnhorst\barnhle01,1950,1954,F-G,6-4,190,May 11 1924,University of Notre Dame
John Barr\barrjo01,1947,1947,F,6-3,205,August 8 1918,Pennsylvania State University
Mike Barr\barrmi01,1973,1977,G,6-3,180,October 19 1950,Duquesne University
Moe Barr\barrmo01,1971,1971,G,6-4,195,June 19 1944,Duquesne University
Andre Barrett\barrean01,2005,2008,G,5-10,172,February 21 1982,Seton Hall University
Ernie Barrett\barreer01,1954,1956,G-F,6-3,180,August 27 1929,Kansas State University
Mike Barrett\barremi01,1970,1973,G,6-2,155,September 5 1943,West Virginia University Institute of Technology
Earl Barron\barroea01,2006,2015,C,7-0,250,August 14 1981,University of Memphis
Dana Barros\barroda01,1990,2004,G,5-11,163,April 13 1967,Boston College
Brent Barry\barrybr01,1996,2009,G,6-6,185,December 31 1971,Oregon State University
Drew Barry\barrydr01,1998,2000,G,6-5,191,February 17 1973,Georgia Institute of Technology
Jon Barry\barryjo01,1993,2006,G,6-4,195,July 25 1969,Georgia Institute of Technology
Rick Barry*\barryri01,1966,1980,F,6-7,205,March 28 1944,University of Miami
Ed Bartels\barteed01,1950,1951,F,6-5,195,October 8 1925,North Carolina State University
Vic Bartolome\bartovi01,1972,1972,C,7-0,230,September 29 1948,Oregon State University
Will Barton\bartowi01,2013,2017,G,6-6,175,January 6 1991,University of Memphis
Eddie Basden\basdeed01,2006,2006,G,6-5,215,February 15 1983,University of North Carolina at Charlotte
Jerry Baskerville\baskeje01,1976,1976,F,6-7,190,November 10 1951,Temple University
Brandon Bass\bassbr01,2006,2017,F,6-8,250,April 30 1985,Louisiana State University
Tim Bassett\basseti01,1974,1980,F-C,6-8,225,April 1 1951,University of Georgia
Maceo Baston\bastoma01,2003,2009,F,6-9,215,May 29 1975,University of Michigan
Mengke Bateer\bateeme01,2002,2004,C,6-11,290,November 20 1975,
Billy Ray Bates\batesbi01,1980,1983,G,6-4,210,May 31 1956,Kentucky State University
Esteban Batista\batises01,2006,2007,F-C,6-10,270,September 2 1983,
Mike Batiste\batismi01,2003,2003,F,6-8,225,November 21 1977,Arizona State University
Tony Battie\battito01,1998,2012,C-F,6-11,230,February 11 1976,Texas Tech University
Shane Battier\battish01,2002,2014,F,6-8,220,September 9 1978,Duke University
John Battle\battljo01,1986,1995,G,6-2,175,November 9 1962,Rutgers University
Kenny Battle\battlke01,1990,1993,F,6-6,210,October 10 1964,University of Illinois at Urbana-Champaign
Dave Batton\battoda01,1983,1984,C,6-10,240,March 26 1956,University of Notre Dame
Lloyd Batts\battsll01,1975,1975,G-F,6-4,185,May 9 1951,University of Cincinnati
Nicolas Batum\batumni01,2009,2017,F-G,6-8,200,December 14 1988,
Johnny Baum\baumjo01,1970,1974,F,6-5,200,June 17 1946,Temple University
Frankie Baumholtz\baumhfr01,1947,1947,G,5-10,170,October 7 1918,Ohio University
Lonny Baxter\baxtelo01,2003,2006,F,6-8,260,January 27 1979,University of Maryland
Jerryd Bayless\bayleje01,2009,2017,G,6-3,200,August 20 1988,University of Arizona
Elgin Baylor*\bayloel01,1959,1972,F,6-5,225,September 16 1934,Seattle University
Howard Bayne\bayneho01,1968,1968,F,6-6,235,July 28 1942,University of Tennessee
Aron Baynes\baynear01,2013,2017,C,6-10,260,December 9 1986,Washington State University
Sergei Bazarevich\bazarse01,1995,1995,G,6-2,168,March 16 1965,
Kent Bazemore\bazemke01,2013,2017,G-F,6-5,201,July 1 1989,Old Dominion University
Ed Beach\beached01,1951,1951,F,6-3,200,January 25 1929,West Virginia University
Bradley Beal\bealbr01,2013,2017,G,6-5,207,June 28 1993,University of Florida
Al Beard\beardal01,1968,1968,C,6-9,200,April 27 1942,Norfolk State University
Butch Beard\beardbu01,1970,1979,G,6-3,185,May 4 1947,University of Louisville
Ralph Beard\beardra01,1950,1951,G,5-10,175,December 2 1927,University of Kentucky
Charles Beasley\beaslch01,1968,1971,G-F,6-5,190,September 23 1945,Southern Methodist University
Jerome Beasley\beaslje01,2004,2004,F,6-10,237,May 17 1980,University of North Dakota
John Beasley\beasljo01,1968,1974,F-C,6-9,225,February 5 1944,Texas A&M University
Malik Beasley\beaslma01,2017,2017,G,6-5,196,November 26 1996,Florida State University
Michael Beasley\beaslmi01,2009,2017,F,6-9,235,January 9 1989,Kansas State University
Zelmo Beaty*\beatyze01,1963,1975,C,6-9,225,October 25 1939,Prairie View A&M University
Rodrigue Beaubois\beaubro01,2010,2013,G,6-0,170,February 24 1988,
Byron Beck\beckby01,1968,1977,C-F,6-9,225,January 25 1945,University of Denver
Corey Beck\beckco01,1996,1999,G,6-1,190,May 27 1971,University of Arkansas
Ernie Beck\becker01,1954,1961,G-F,6-4,190,December 11 1931,University of Pennsylvania
Arthur Becker\beckear01,1968,1973,F,6-7,205,January 12 1942,Arizona State University
Moe Becker\beckemo01,1947,1947,G-F,6-1,185,February 24 1917,Duquesne University
Bob Bedell\bedelbo01,1968,1971,F,6-7,205,June 26 1944,Stanford University
William Bedford\bedfowi01,1987,1993,C,7-0,225,December 14 1963,University of Memphis
Hank Beenders\beendha01,1947,1949,C-F,6-6,185,June 2 1916,Long Island University
Ron Behagen\behagro01,1974,1980,F-C,6-9,185,January 14 1951,University of Minnesota
Elmer Behnke\behnkel01,1952,1952,C,6-7,210,February 3 1929,Bradley University
Marco Belinelli\belinma01,2008,2017,G-F,6-5,210,March 25 1986,
Charlie Bell\bellch01,2002,2011,G,6-3,200,March 12 1979,Michigan State University
Dennis Bell\bellde01,1974,1976,F,6-5,185,June 2 1951,Drake University
Raja Bell\bellra01,2001,2012,G,6-5,204,September 19 1976,Florida International University
Troy Bell\belltr01,2004,2004,G,6-1,180,November 10 1980,Boston College
Whitey Bell\bellwh01,1960,1961,G,6-0,180,September 13 1932,North Carolina State University
Walt Bellamy*\bellawa01,1962,1975,C,6-11,225,July 24 1939,Indiana University
DeAndre' Bembry\bembrde01,2017,2017,F,6-6,210,July 4 1994,Saint Joseph's University
Irv Bemoras\bemorir01,1954,1957,F-G,6-3,185,November 18 1930,University of Illinois at Urbana-Champaign
Leon Benbow\benbole01,1975,1976,G,6-4,185,July 23 1950,Jacksonville University
Dragan Bender\bendedr01,2017,2017,F,7-1,225,November 17 1997,
Jonathan Bender\bendejo01,2000,2010,F,6-11,202,January 30 1981,
Jerrelle Benimon\benimje01,2015,2015,F,6-8,245,August 1 1991,Towson University
Benoit Benjamin\benjabe01,1986,2000,C,7-0,250,November 22 1964,Creighton University
Corey Benjamin\benjaco01,1999,2003,G,6-6,200,February 24 1978,Oregon State University
Anthony Bennett\bennean01,2014,2017,F,6-8,245,March 14 1993,University of Nevada Las Vegas
Elmer Bennett\benneel01,1995,1997,G,6-0,170,February 13 1970,University of Notre Dame
Mario Bennett\bennema01,1996,2000,F,6-6,235,August 1 1973,Arizona State University
Mel Bennett\benneme01,1976,1982,F,6-7,200,January 4 1955,University of Pittsburgh
Spider Bennett\bennesp01,1969,1969,G,6-3,190,August 4 1943,Winston-Salem State University
Tony Bennett\benneto01,1993,1995,G,6-0,175,June 1 1969,University of Wisconsin-Green Bay
Winston Bennett\bennewi01,1990,1992,F,6-7,210,February 9 1965,University of Kentucky
David Benoit\benoida01,1992,2001,F,6-8,220,May 9 1968,University of Alabama
Keith Benson\bensoke02,2012,2012,C,6-11,240,August 13 1988,Oakland University
Kent Benson\bensoke01,1978,1988,C,6-10,235,December 27 1954,Indiana University
Ben Bentil\bentibe01,2017,2017,F,6-9,235,March 29 1995,Providence College
Gene Berce\bercege01,1950,1950,G-F,5-11,175,November 22 1926,Marquette University
Gary Bergen\bergega01,1957,1957,C,6-8,210,July 16 1932,University of Utah
Larry Bergh\berghla01,1970,1970,F,6-8,210,April 2 1945,Weber State University
Ricky Berry\berryri01,1989,1989,F,6-8,205,October 6 1964,San Jose State University
Walter Berry\berrywa01,1987,1989,F,6-8,215,May 14 1964,St. John's University
Davis Bertans\bertada01,2017,2017,F,6-10,210,November 12 1992,
Del Beshore\beshode01,1979,1980,G,5-11,165,November 29 1956,California University of Pennslyvania
Travis Best\besttr01,1996,2005,G,5-11,182,July 12 1972,Georgia Institute of Technology
Patrick Beverley\beverpa01,2013,2017,G,6-1,185,July 12 1988,University of Arkansas
Sim Bhullar\bhullsi01,2015,2015,C,7-5,360,December 2 1992,New Mexico State University
Wesley Bialosuknia\bialowe01,1968,1968,G,6-2,185,June 8 1945,University of Connecticut
Al Bianchi\biancal01,1957,1966,G,6-3,185,March 26 1932,Bowling Green State University
Hank Biasatti\biasaha01,1947,1947,G,5-11,175,January 14 1922,Long Island University
Henry Bibby\bibbyhe01,1973,1981,G,6-1,185,November 24 1949,University of California Los Angeles
Mike Bibby\bibbymi01,1999,2012,G,6-1,190,May 13 1978,University of Arizona
Ed Biedenbach\biedeed01,1969,1969,G,6-1,175,August 12 1945,North Carolina State University
Andris Biedrins\biedran01,2005,2014,C,6-11,240,April 2 1986,
Don Bielke\bielkdo01,1956,1956,C,6-7,240,,Valparaiso University
Bob Bigelow\bigelbo01,1976,1979,F-G,6-7,215,December 26 1953,University of Pennsylvania
Lionel Billingy\billili01,1975,1975,F-C,6-9,215,August 31 1952,Duquesne University
Chauncey Billups\billuch01,1998,2014,G,6-3,202,September 25 1976,University of Colorado
Dave Bing*\bingda01,1967,1978,G,6-3,180,November 24 1943,Syracuse University
Joe Binion\biniojo01,1987,1987,F,6-8,235,March 26 1961,North Carolina Agricultural and Technical State University
Jerry Bird\birdje01,1959,1959,F,6-6,210,February 2 1935,University of Kentucky
Larry Bird*\birdla01,1980,1992,F,6-9,220,December 7 1956,Indiana State University
Otis Birdsong\birdsot01,1978,1989,G,6-3,190,December 9 1955,University of Houston
Gale Bishop\bishoga01,1949,1949,F,6-3,195,June 4 1922,Washington State University
Bismack Biyombo\biyombi01,2012,2017,C-F,6-9,255,August 28 1992,
Nemanja Bjelica\bjeline01,2016,2017,F,6-10,240,May 9 1988,
Uwe Blab\blabuw01,1986,1990,C,7-1,252,March 26 1962,Indiana University
Charlie Black\blackch01,1949,1952,F-C,6-5,200,June 15 1921,University of Kansas
Norman Black\blackno01,1981,1981,G,6-5,185,November 12 1957,Saint Joseph's University
Tarik Black\blackta01,2015,2017,C-F,6-9,250,November 22 1991,University of Kansas
Tom Black\blackto01,1971,1971,C,6-10,220,July 9 1941,South Dakota State University
Rolando Blackman\blackro01,1982,1994,G,6-6,190,February 26 1959,Kansas State University
Alex Blackwell\blackal01,1993,1993,F,6-6,250,June 27 1970,Monmouth University
Cory Blackwell\blackco01,1985,1985,F,6-6,210,March 27 1963,University of Wisconsin
James Blackwell\blackja01,1995,1995,G,6-0,190,February 25 1968,Dartmouth College
Nate Blackwell\blackna01,1988,1988,G,6-4,170,February 15 1965,Temple University
DeJuan Blair\blairde01,2010,2016,F-C,6-7,270,April 22 1989,University of Pittsburgh
Steve Blake\blakest01,2004,2016,G,6-3,172,February 26 1980,University of Maryland
Will Blalock\blalowi01,2007,2007,G,6-0,205,September 8 1983,Iowa State University
George Blaney\blanege01,1962,1962,G,6-1,175,November 12 1939,College of the Holy Cross
Lance Blanks\blankla01,1991,1993,G,6-4,190,September 9 1966,University of Texas at Austin
Ricky Blanton\blantri01,1993,1993,F,6-7,215,April 21 1966,Louisiana State University
Andray Blatche\blatcan01,2006,2014,F,6-11,235,August 22 1986,
Mookie Blaylock\blaylmo01,1990,2002,G,6-0,180,March 20 1967,University of Oklahoma
Eric Bledsoe\bledser01,2011,2017,G,6-1,205,December 9 1989,University of Kentucky
Leon Blevins\blevile01,1951,1951,G,6-2,160,June 25 1926,University of Arizona
John Block\blockjo01,1967,1976,F-C,6-9,207,April 16 1944,University of Southern California
Mike Bloom\bloommi01,1948,1949,F-C,6-6,190,January 14 1915,Temple University
Corie Blount\blounco01,1994,2004,F,6-9,240,January 4 1969,University of Cincinnati
Mark Blount\blounma01,2001,2009,C,7-0,230,November 30 1975,University of Pittsburgh
Vander Blue\blueva01,2014,2015,G,6-4,200,July 17 1992,Marquette University
Ray Blume\blumera01,1982,1982,G,6-4,185,September 23 1958,Oregon State University
Nelson Bobb\bobbne01,1950,1953,G,6-0,170,February 25 1924,Temple University
Tony Bobbitt\bobbito01,2005,2005,G,6-4,190,October 22 1979,University of Cincinnati
Bucky Bockhorn\bockhbu01,1959,1965,G,6-4,200,July 8 1933,University of Dayton
Tom Boerwinkle\boerwto01,1969,1978,C,7-0,265,August 23 1945,University of Tennessee
Keith Bogans\boganke01,2004,2014,G-F,6-5,215,May 12 1980,University of Kentucky
Bojan Bogdanovic\bogdabo02,2015,2017,G-F,6-8,216,April 18 1989,
Muggsy Bogues\boguemu01,1988,2001,G,5-3,136,January 9 1965,Wake Forest University
Andrew Bogut\bogutan01,2006,2017,C,7-0,260,November 28 1984,University of Utah
Etdrick Bohannon\bohanet01,1998,2001,F,6-9,220,May 29 1973,Auburn University at Montgomery
Manute Bol\bolma01,1986,1995,C,7-7,200,October 16 1962,University of Bridgeport
Bill Bolger\bolgebi01,1954,1954,F,6-5,205,August 21 1931,Georgetown University
Joel Bolomboy\bolomjo01,2017,2017,F,6-9,235,January 28 1994,Weber State University
Doug Bolstorff\bolstdo01,1958,1958,G,6-4,195,October 29 1931,University of Minnesota
George Bon Salle\bonsage01,1962,1962,F,6-8,220,July 1 1935,University of Illinois at Urbana-Champaign
Phil Bond\bondph01,1978,1978,G,6-2,175,July 27 1954,University of Louisville
Walter Bond\bondwa01,1993,1995,G,6-5,200,February 1 1969,University of Minnesota
Dexter Boney\boneyde01,1997,1997,G,6-4,185,April 27 1970,University of Nevada Las Vegas
Ron Bonham\bonharo01,1965,1968,F,6-5,192,May 31 1942,University of Cincinnati
Anthony Bonner\bonnean01,1991,1996,F,6-8,215,June 8 1968,Saint Louis University
Matt Bonner\bonnema01,2005,2016,F,6-10,235,April 5 1980,University of Florida
Butch Booker\bookebu01,1970,1970,C,6-10,230,July 20 1945,Cheyney University of Pennsylvania
Devin Booker\bookede01,2016,2017,G,6-6,206,October 30 1996,University of Kentucky
Melvin Booker\bookeme01,1996,1997,G,6-1,185,August 20 1972,University of Missouri
Trevor Booker\booketr01,2011,2017,F,6-8,228,November 25 1987,Clemson University
Josh Boone\boonejo01,2007,2010,F-C,6-10,237,November 21 1984,University of Connecticut
Ron Boone\boonero01,1969,1981,G-F,6-2,200,September 6 1946,Idaho State University
Calvin Booth\boothca01,2000,2009,C,6-11,230,May 7 1976,Pennsylvania State University
Keith Booth\boothke01,1998,1999,F,6-6,226,October 9 1974,University of Maryland
Bob Boozer\boozebo01,1961,1971,F,6-8,215,April 26 1937,Kansas State University
Carlos Boozer\boozeca01,2003,2015,F-C,6-9,258,November 20 1981,Duke University
Curtis Borchardt\borchcu01,2004,2005,C,7-0,240,September 13 1980,Stanford University
Jake Bornheimer\bornhja01,1949,1950,F-C,6-5,200,June 29 1927,Muhlenberg College
Lazaro Borrell\borrela01,2000,2000,F,6-8,220,September 20 1972,
Ike Borsavage\borsaik01,1951,1951,C-F,6-8,220,July 25 1924,Temple University
Vince Boryla\borylvi01,1950,1954,F,6-5,210,March 11 1927,University of Denver
Chris Bosh\boshch01,2004,2016,F-C,6-11,235,March 24 1984,Georgia Institute of Technology
Jim Bostic\bostiji01,1978,1978,F,6-7,225,January 28 1953,New Mexico State University
Lawrence Boston\bostola01,1980,1980,F,6-8,225,May 18 1956,University of Maryland
Tom Boswell\bosweto01,1976,1984,F-C,6-9,220,October 2 1953,University of South Carolina
Ruben Boumtje-Boumtje\boumtru01,2002,2004,C,7-0,257,May 20 1978,Georgetown University
Don Boven\bovendo01,1950,1953,F-G,6-4,210,March 6 1925,Western Michigan University
Cal Bowdler\bowdlca01,2000,2002,F,6-10,245,March 31 1977,Old Dominion University
Bruce Bowen\bowenbr01,1997,2009,F,6-7,185,June 14 1971,California State University Fullerton
Ryan Bowen\bowenry01,2000,2010,F,6-7,215,November 20 1975,University of Iowa
Tommie Bowens\bowento01,1968,1970,F-C,6-8,220,July 7 1940,Grambling State University
Anthony Bowie\bowiean01,1989,1998,G-F,6-6,190,November 9 1963,University of Oklahoma
Sam Bowie\bowiesa01,1985,1995,C-F,7-1,235,March 17 1961,University of Kentucky
Orbie Bowling\bowlior01,1968,1968,C,6-10,215,March 21 1939,University of Tennessee
Ira Bowman\bowmair01,2000,2002,G,6-5,195,June 11 1973,University of Pennsylvania
Nate Bowman\bowmana01,1967,1972,C,6-10,230,March 19 1943,Wichita State University
Donnie Boyce\boycedo01,1996,1997,G,6-5,196,September 2 1973,University of Colorado
Dennis Boyd\boydde01,1979,1979,G,6-1,175,May 21 1954,University of Detroit Mercy
Freddie Boyd\boydfr01,1973,1978,G,6-2,180,June 13 1950,Oregon State University
Ken Boyd\boydke01,1975,1975,F,6-5,195,March 25 1952,Boston University
Earl Boykins\boykiea01,1999,2012,G,5-5,135,June 2 1976,Eastern Michigan University
Harry Boykoff\boykoha01,1950,1951,C,6-10,225,July 24 1922,St. John's University
Winford Boynes\boynewi01,1979,1981,G-F,6-6,185,May 17 1957,University of San Francisco
Cedric Bozeman\bozemce01,2007,2007,G,6-6,207,March 7 1983,University of California Los Angeles
Steve Bracey\bracest01,1973,1975,G,6-1,175,August 1 1950,University of Tulsa
Craig Brackins\brackcr01,2011,2012,F,6-10,230,October 9 1987,Iowa State University
Gary Bradds\braddga01,1965,1971,F,6-8,210,July 26 1942,Ohio State University
Alex Bradley\bradlal02,1982,1982,F,6-6,215,October 30 1959,Villanova University
Alonzo Bradley\bradlal01,1978,1980,F,6-6,190,October 16 1953,Texas Southern University
Avery Bradley\bradlav01,2011,2017,G,6-2,180,November 26 1990,University of Texas at Austin
Bill Bradley\bradlbi02,1968,1968,G,5-11,165,June 16 1941,
Bill Bradley*\bradlbi01,1968,1977,F-G,6-5,205,July 28 1943,Princeton University
Charles Bradley\bradlch01,1982,1984,G,6-5,215,May 16 1959,University of Wyoming
Dudley Bradley\bradldu01,1980,1989,G-F,6-6,195,March 19 1957,University of North Carolina
Jim Bradley\bradlji01,1974,1976,F,6-8,215,March 16 1952,Northern Illinois University
Joe Bradley\bradljo01,1950,1950,G,6-3,175,September 24 1928,Oklahoma State University
Michael Bradley\bradlmi01,2002,2006,F-C,6-10,245,April 18 1979,Villanova University
Shawn Bradley\bradlsh01,1994,2005,C,7-6,235,March 22 1972,Brigham Young University
Mark Bradtke\bradtma01,1997,1997,C-F,6-10,265,September 27 1968,
Marques Bragg\braggma01,1996,1996,F,6-8,230,March 24 1970,Providence College
Torraye Braggs\braggto01,2004,2005,F,6-8,245,May 15 1976,Xavier University
A.J. Bramlett\bramlaj01,2000,2000,C,6-10,227,January 10 1977,University of Arizona
Adrian Branch\brancad01,1987,1990,F-G,6-7,185,November 17 1963,University of Maryland
Elton Brand\brandel01,2000,2016,F,6-8,275,March 11 1979,Duke University
Terrell Brandon\brandte01,1992,2002,G,5-11,180,May 20 1970,University of Oregon
Bob Brannum\brannbo01,1950,1955,F-C,6-5,215,May 28 1925,Michigan State University
Brad Branson\bransbr01,1982,1983,C-F,6-10,220,September 24 1958,Southern Methodist University
Jesse Branson\bransje01,1966,1968,F,6-7,195,January 7 1942,Elon University
Jim Brasco\brascji01,1953,1953,G,6-1,170,February 3 1931,New York University
Mike Bratz\bratzmi01,1978,1986,G,6-2,185,October 17 1955,Stanford University
Carl Braun\braunca01,1948,1962,G-F,6-5,180,September 25 1927,Colgate University
Tim Breaux\breauti01,1995,1998,F,6-7,215,September 19 1970,University of Wyoming
J.R. Bremer\bremejr01,2003,2004,G,6-2,185,September 19 1980,St. Bonaventure University
Pete Brennan\brennpe01,1959,1959,F,6-6,205,September 23 1936,University of North Carolina
Tom Brennan\brennto01,1955,1955,F,6-3,195,August 6 1930,Villanova University
Randy Breuer\breuera01,1984,1994,C,7-3,230,October 11 1960,University of Minnesota
Corey Brewer\breweco01,2008,2017,F-G,6-9,186,March 5 1986,University of Florida
Jamison Brewer\breweja01,2002,2005,G,6-4,184,November 19 1980,Auburn University
Jim Brewer\breweji01,1974,1982,F-C,6-9,210,December 3 1951,University of Minnesota
Ron Brewer\brewero01,1979,1986,G,6-4,180,September 16 1955,University of Arkansas
Ronnie Brewer\brewero02,2007,2014,G-F,6-7,220,March 20 1985,University of Arkansas
Primoz Brezec\brezepr01,2002,2010,C,7-2,252,October 2 1979,
Frankie Brian\brianfr01,1950,1956,G,6-1,180,May 1 1923,Louisiana State University
Frank Brickowski\brickfr01,1985,1997,F-C,6-9,240,August 14 1959,Pennsylvania State University
Junior Bridgeman\bridgju01,1976,1987,F-G,6-5,210,September 17 1953,University of Louisville
Bill Bridges\bridgbi01,1963,1975,F-C,6-6,228,April 4 1939,University of Kansas
Al Brightman\brighal01,1947,1947,F,6-2,195,September 22 1923,University of Charleston
Aud Brindley\brindau01,1947,1947,F,6-4,175,December 31 1923,Dartmouth College
John Brisker\briskjo01,1970,1975,F-G,6-5,210,June 15 1947,University of Toledo
Allan Bristow\bristal01,1974,1983,F-G,6-7,210,August 23 1951,Virginia Polytechnic Institute and State University
Tyrone Britt\brittty01,1968,1968,G,6-4,190,April 18 1944,Johnson C. Smith University
Wayman Britt\brittwa01,1978,1978,G,6-2,185,August 31 1952,University of Michigan
Mike Brittain\brittmi01,1986,1987,C,7-0,235,June 21 1963,University of South Carolina
Dave Britton\brittda01,1981,1981,G,6-4,180,August 29 1958,Texas A&M University
Jon Brockman\brockjo01,2010,2012,F,6-7,255,March 20 1987,University of Washington
Jim Brogan\brogaji01,1982,1983,G,6-4,185,February 24 1958,West Virginia Wesleyan College
Malcolm Brogdon\brogdma01,2017,2017,G,6-5,215,December 11 1992,University of Virginia
Gary Brokaw\brokaga01,1975,1978,G,6-4,178,January 11 1954,University of Notre Dame
Price Brookfield\brookpr01,1949,1950,F-G,6-4,185,May 11 1920,West Texas A&M University
Clarence Brookins\brookcl01,1971,1971,F,6-4,190,,Temple University
Aaron Brooks\brookaa01,2008,2017,G,6-0,161,January 14 1985,University of Oregon
Kevin Brooks\brookke01,1992,1994,F,6-6,200,October 12 1969,University of Louisiana at Lafayette
MarShon Brooks\brookma01,2012,2014,G-F,6-5,200,January 26 1989,Providence College
Michael Brooks\brookmi01,1981,1988,F,6-7,220,August 17 1958,La Salle University
Scott Brooks\brooksc01,1989,1998,G,5-11,165,July 31 1965,University of California Irvine
Andre Brown\brownan01,2007,2009,F,6-9,245,May 12 1981,DePaul University
Anthony Brown\brownan02,2016,2017,F-G,6-7,210,October 10 1992,Stanford University
Bob Brown\brownbo01,1949,1950,F,6-4,205,November 12 1923,Miami University
Bobby Brown\brownbo02,2009,2017,G,6-2,175,September 24 1984,California State University Fullerton
Chucky Brown\brownch01,1990,2002,F,6-7,214,February 29 1968,North Carolina State University
Damone Brown\brownda02,2002,2005,F,6-9,200,June 28 1979,Syracuse University
Darrell Brown\brownda01,1949,1949,F,6-2,175,March 14 1923,Humboldt State University
Dee Brown\brownde01,1991,2002,G,6-1,160,November 29 1968,Jacksonville University
Dee Brown\brownde03,2007,2009,G,6-0,185,August 17 1984,University of Illinois at Urbana-Champaign
Derrick Brown\brownde04,2010,2012,F,6-7,225,September 8 1987,Xavier University
Devin Brown\brownde02,2003,2010,G,6-5,220,December 30 1978,University of Texas at San Antonio
Ernest Brown\browner01,2002,2002,C,7-0,244,May 17 1979,Indian Hills Community College
Fred Brown\brownfr01,1972,1984,G,6-3,182,August 7 1948,University of Iowa
George Brown\brownge01,1958,1958,F,6-6,190,October 30 1935,Wayne State University
Gerald Brown\brownge02,1999,1999,G,6-4,210,July 28 1975,Pepperdine University
Harold Brown\brownha01,1947,1947,G,6-0,155,October 2 1923,University of Evansville
Jabari Brown\brownja01,2015,2015,G,6-4,215,December 18 1992,University of Missouri
Jaylen Brown\brownja02,2017,2017,F,6-7,225,October 24 1996,University of California
John Brown\brownjo01,1974,1980,F,6-7,220,December 14 1951,University of Missouri
